"f_Enterobacteriaceae";"f_Akkermansiaceae";"f_Oscillospiraceae";"f_Lachnospiraceae";"o_Eubacteriales";"f_Rikenellaceae";"f_Veillonellaceae";"f_Bacteroidaceae";"f_Streptococcaceae";"f_Peptostreptococcaceae";"f_Porphyromonadaceae";"f_Coprobacillaceae";"f_Bifidobacteriaceae";"f_Coriobacteriaceae";"f_Erysipelotrichaceae";"p_Bacillota";"f_Clostridiaceae_1";"f_Prevotellaceae";"f_Acidaminococcaceae";"f_Enterococcaceae";"f_Christensenellaceae";"k_Bacteria";"f_Eggerthellaceae";"c_Clostridia";"f_Odoribacteraceae";"f_Lactobacillaceae";"f_Leuconostocaceae";"f_Fusobacteriaceae";"f_Pasteurellaceae";"f_Muribaculaceae";"f_Desulfovibrionaceae";"f_Barnesiellaceae";"f_Eubacteriales_incertae_sedis";"f_Streptophyta";"o_Bacteroidales";"p_Bacteroidota";"p_Candidatus_Saccharibacteria";"f_Turicibacteraceae";"f_Selenomonadaceae";"f_Sutterellaceae";"o_Negativibacillus";"c_Coriobacteriia";"f_Eubacteriales_incertae_sedis_XIII";"f_Succinivibrionaceae";"c_Alphaproteobacteria";"f_Micrococcaceae";"f_Carnobacteriaceae";"f_Peptococcaceae";"f_Pseudomonadaceae";"f_Bacillales_Incertae_Sedis_XI";"f_Atopobiaceae";"f_Sphingomonadaceae";"f_Poaceae";"f_Erythrobacteraceae";"c_Mollicutes";"f_Peptoniphilaceae";"f_Helicobacteraceae";"f_Synergistaceae";"f_Actinomycetaceae";"f_Eubacteriaceae";"f_Chitinophagaceae";"f_Victivallaceae";"f_Chlamydiaceae";"f_Oxalobacteraceae";"f_Propionibacteriaceae";"f_Staphylococcaceae";"o_Rhodospirillales";"f_Elusimicrobiaceae";"p_Pseudomonadota";"f_Aerococcaceae";"f_Corynebacteriaceae";"f_Methylobacteriaceae";"f_Treponemataceae";"o_Enterobacterales";"f_Brucellaceae";"f_Xanthomonadaceae";"f_Anaeroplasmataceae";"f_Puniceicoccaceae";"f_Cardiobacteriaceae";"f_Campylobacteraceae";"o_Spirochaetales";"o_Erysipelotrichales";"f_Caryophanaceae";"f_Hafniaceae";"f_Deferribacteraceae";"c_Planctomycetia";"f_Morganellaceae";"f_Yersiniaceae";"f_Comamonadaceae";"f_Fibrobacteraceae";"f_Burkholderiaceae";"f_Promicromonosporaceae";"f_Arcobacteraceae";"c_Negativicutes";"f_Aeromonadaceae";"o_Lactobacillales";"c_Actinobacteria";"Bacteria";"f_Syntrophomonadaceae";"o_Burkholderiales";"f_Lawsonellaceae";"f_Microbacteriaceae";"f_Moraxellaceae";"c_Opitutia";"f_Neisseriaceae";"NA.";"f_Bacillariophyta";"f_Brachyspiraceae";"f_Leptotrichiaceae";"c_Bacilli";"f_Weeksellaceae";"f_Bacillaceae";"f_Legionellaceae";"f_Methanobacteriaceae";"c_Betaproteobacteria"
125;661;6940;4269;10511;1954;2;3084;521;430;940;14;81;0;349;1203;221;247;192;244;6;67;39;113;157;17;0;0;0;0;0;831;0;0;0;0;33;24;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
901;2542;13131;7332;805;133;102;668;1975;283;173;118;1257;901;1620;712;149;1421;705;370;357;544;304;138;40;90;0;0;141;23;251;22;21;20;150;485;26;16;0;0;0;19;37;0;0;53;31;0;0;37;13;44;0;115;0;0;7;0;0;0;7;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3958;10867;6308;2548;11619;0;148;69;64;548;37;239;0;364;800;798;703;399;2;0;332;849;771;245;0;11;0;0;7;0;5;0;11;0;100;12;0;601;59;0;8;0;9;18;0;0;0;0;0;0;237;6;0;0;0;0;0;0;23;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;0;10565;21781;97;124;254;844;2837;2344;99;49;1766;2660;224;0;0;0;19;0;0;5;154;0;0;302;64;0;0;0;3;33;129;4;5;2;0;0;0;13;0;0;0;0;0;0;7;0;0;5;10;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
442;321;6033;7281;653;83;40;963;1525;903;118;597;504;2946;2904;2999;2192;737;29;230;4;3298;190;76;188;2100;0;0;121;113;0;22;248;44;86;52;99;13;0;12;0;163;209;0;0;89;73;0;0;83;40;21;17;73;0;0;9;0;38;0;0;0;0;0;8;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4235;21;3227;3053;12816;28;275;91;4805;141;11;128;141;0;208;51;839;9;0;0;24;189;60;53;0;6110;17;9;23;0;111;9;24;10;0;0;61;0;0;0;9;44;19;0;0;0;39;0;0;74;11;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;8549;1448;2377;2673;0;10617;264;13;696;0;41;325;42;5924;0;481;326;0;546;605;25;87;264;28;0;0;0;60;571;429;0;0;79;19;0;0;0;469;30;0;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;20;8;0;0;175;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
168;8;8885;2674;5714;61;166;248;180;254;31;2082;1276;722;2209;1250;53;1017;72;61;229;545;491;107;26;325;19;0;0;34;81;11;46;14;236;98;10;14;26;9;0;105;30;0;0;74;0;53;0;0;605;14;0;0;11;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;28;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2784;31165;430;951;18;11;105;383;456;185;35;12;0;0;156;31;0;26;0;36;0;0;94;0;0;48;28;0;0;0;0;12;0;0;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27396;3059;1415;2508;8;8;884;234;3031;77;0;6;78;0;123;0;312;0;0;93;0;0;0;0;4;267;0;4;0;0;2;0;15;33;0;0;20;0;0;0;0;0;0;0;0;19;0;0;0;226;11;0;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0;0;6044;3363;3406;35;705;107;1713;3175;56;0;221;268;984;614;3631;683;0;0;29;341;209;12;122;6;106;0;352;0;66;32;26;0;39;0;36;910;0;0;41;0;11;0;0;31;42;0;0;44;44;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6819;1208;7815;1375;3207;17;547;7349;646;77;382;404;151;391;280;4312;150;445;20;172;332;358;85;110;55;318;3;0;63;183;157;0;13;0;780;1061;0;0;0;0;0;11;84;0;0;0;0;201;0;0;85;17;0;27;0;2;0;0;0;0;2;0;0;13;0;0;0;0;0;0;0;0;48;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;6399;10707;1395;2241;19;12870;132;0;245;19;23;147;408;123;0;0;196;0;0;892;14;394;1350;2;0;0;0;0;114;0;0;0;2;0;0;0;0;98;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
756;10;5621;9260;3;38;13;17450;26;929;626;0;175;0;88;4;29;19;2246;11;0;0;0;0;0;0;2;0;67;0;0;0;0;0;0;0;6;0;0;1210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
775;74;11780;2391;252;287;1728;315;352;2562;54;15;1873;164;1885;162;27;7393;0;0;0;65;106;32;0;873;0;0;7;11;412;38;251;220;115;38;174;14;0;4;0;0;0;26;0;0;0;0;0;38;23;18;24;0;0;0;15;0;15;0;6;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;1076;10371;11766;113;529;213;1965;519;909;258;61;185;0;3011;234;764;888;37;33;16;116;175;13;48;460;13;0;0;214;24;190;115;0;840;426;585;71;9;122;0;10;3;8;0;10;0;0;0;14;0;17;0;0;0;4;70;0;0;0;0;0;14;0;25;0;0;4;0;0;0;0;37;0;0;0;10;0;0;0;6;12;0;0;10;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9078;0;19905;4843;618;194;0;620;1450;1831;51;430;486;739;215;352;596;108;22;78;47;105;202;75;12;41;10;0;4;0;0;15;43;41;59;0;48;112;17;7;655;10;40;0;0;15;33;125;0;14;38;0;0;0;0;0;0;0;143;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1022;933;8071;3908;70;1141;2281;2974;90;251;1103;656;79;0;176;1714;17;4386;23;0;46;114;11;21;53;211;0;0;0;185;71;193;32;9;737;283;547;39;21;14;0;8;0;13;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;17;31;13;11;2;0;0;0;0;0;46;0;0;0;8;3;0;0;0;9;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
